Target,Function Target,Number of Alpha Carbons in Target,Distance,Reference
target_8GYN_ca,,139,0.8800550477202046,ref_Xenopus_tropicalis_CRCL_5_filtered_Ca
target_7Y8D_ca,,138,0.8803804971720455,ref_Halisarca_caerulea_CRCL_1_filtered_Ca
target_7PO9_ca,,169,0.8813485734132352,ref_Homo_sapiens_CRCL_6_filtered_Ca
target_8GYN_ca,,160,0.8820750937127051,ref_Xenopus_tropicalis_CRCL_8_filtered_Ca
target_6LTK_ca,,165,0.8822462691355012,ref_Acropora_millepora_CRCL_1_filtered_Ca
target_7PO9_ca,,145,0.882366120419648,ref_Danio_rerio_CRCL_8_filtered_Ca
target_7Y8D_ca,,170,0.8829319411265729,ref_Xenopus_tropicalis_CRCL_7_filtered_Ca
target_7KVX_ca,,156,0.883025844142609,ref_Hydra_vulgaris_CRCL_2_filtered_Ca
target_7CQV_ca,,144,0.8831152379550115,ref_Strongylocentrotus_purpuratus_CRCL_1_filtered_Ca
target_7CIX_ca,,184,0.8831550885688144,ref_Stylophora_pistillata_CRCL_8_all_Ca
target_7CQV_ca,,174,0.883617098844527,ref_Gallus_gallus_CRCL_7_all_Ca
target_8GYN_ca,,150,0.8837869552680439,ref_Acropora_digitifera_CRCL_1_filtered_Ca
target_6LTK_ca,,198,0.8847984496998286,ref_Xenopus_tropicalis_CRCL_9_all_Ca
target_7JW6_ca,,181,0.8850409235326566,ref_Gallus_gallus_CRCL_6_filtered_Ca
target_7CIV_ca,,174,0.8853678484484113,ref_Gallus_gallus_CRCL_7_all_Ca
target_7CIV_ca,,168,0.8860819249021495,ref_Chondrosia_reniformis_CRCL_1_filtered_Ca
target_7PO9_ca,,151,0.8868887998509617,ref_Strongylocentrotus_purpuratus_CRCL_6_filtered_Ca
target_7PO9_ca,,138,0.8870031597584815,ref_Amphimedon_queenslandica_CRCL_1_filtered_Ca
target_6V4E_ca,,174,0.8870374359084152,ref_Gallus_gallus_CRCL_7_all_Ca
target_7PO9_ca,,156,0.8873438463035899,ref_Hydra_vulgaris_CRCL_4_filtered_Ca
target_8GYN_ca,,147,0.8878845222340783,ref_Suberites_domuncula_CRCL_1_filtered_Ca
target_7KVX_ca,,139,0.8880453967097248,ref_Stylophora_pistillata_CRCL_5_filtered_Ca
target_6T2T_ca,,198,0.8884994543265482,ref_Xenopus_tropicalis_CRCL_9_all_Ca
target_8GYN_ca,,147,0.8889369517968639,ref_Acropora_millepora_CRCL_2_filtered_Ca
target_7Y8D_ca,,119,0.88932460341887,ref_Strongylocentrotus_purpuratus_CRCL_5_filtered_Ca
target_7CIX_ca,,176,0.8897773807780499,ref_Danio_rerio_CRCL_10_filtered_Ca
target_7CQV_ca,,172,0.8898745655598775,ref_Haliclona_tubifera_CRCL_4_filtered_Ca
target_8ADD_ca,,174,0.890038212759997,ref_Gallus_gallus_CRCL_7_all_Ca
target_7PO9_ca,,146,0.8901251744772929,ref_Strongylocentrotus_purpuratus_CRCL_4_filtered_Ca
